Comment,Designator,Footprint,JLCPCB Part #?optional?
1uF,"C1, C2",CAPC3216X135,C13832
100nF,"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17",CAPC2012X110,C282732
22uF,C18,CAPC3216X135,C5672
SK6812_SIDE-A,"D1, D2, D3, D4, D5, D6, D7, D8",LED_SK6812_SIDE-A,C5378721
NPPN032AFCN-RCCONN3X2_NPPN032AFCN-RC_SUL,"J1, J2",CONN3X2_NPPN032AFCN-RC_SUL,DNP
TLI493D-A2B6,"MAG1, MAG2, MAG3",SOP95P280X110-6N-V,C1559664
10K,"R1, R2",RESC2012X65,C2930231
CAY16-103J4LF,RN1,RESCAF80P320X160X60-8N,C872280
TS32-7-35-BK-160-RA-SMT-TR,"S1, S2",SW_TS32-7-35-BK-160-RA-SMT-TR,C961745
AP22816BKEWT-7,"U1, U2, U3, U4",SOT95P280X100-5N,C2150007
SN74AHCT1G125DBVR,U5,SOT95P280X145-5N,C7484
NRPN032PAEN-RC,"H1, H2",CONN3X2_NRPN032PAEN,DNP
