Designator,Mid X,Mid Y,Rotation,Layer
C1,153.0731,-83.3656,270.0,top
C10,169.803331,-94.169769,213.0,top
C11,134.667269,-86.701369,303.0,top
C12,127.198869,-121.837431,33.0,top
C13,162.334931,-129.305831,123.0,top
C14,169.814018,-121.814975,147.0,top
C15,162.345615,-86.678922,237.0,top
C16,127.209563,-94.147322,327.0,top
C17,134.677966,-129.283378,57.0,top
C18,148.5011,-133.4036,0.0,top
C2,143.8021,-83.3656,270.0,top
C3,123.1011,-102.2886,0.0,top
C4,123.1011,-113.7186,0.0,top
C5,173.9011,-113.7186,0.0,top
C6,173.9011,-102.2886,180.0,top
C7,151.6761,-124.5136,90.0,top
C8,137.3251,-99.7486,90.0,top
C9,159.6771,-99.7486,90.0,top
D1,138.667406731185,-84.60622714668163,22.0,top
D2,124.87816580602322,-98.3402133457283,68.0,top
D3,124.84339839551299,-117.79377659978424,113.0,top
D4,138.5746853457283,-131.57421619397678,158.0,top
D5,158.02824859978426,-131.608979604487,203.0,top
D6,171.80437849163806,-117.88582708512948,247.0,top
D7,171.84615185331836,-98.43293473118499,292.0,top
D8,158.1121676542717,-84.64369080602323,338.0,top
J1,148.5011,-77.5036,0.0,bottom
J2,148.5011,-81.7536,180.0,bottom
MAG1,148.5011,-124.5136,90.0,top
MAG2,134.203,-99.7486,90.0,top
MAG3,162.7992,-99.7486,90.0,top
R1,151.2951,-90.3506,90.0,top
R2,144.9451,-90.3506,90.0,top
RN1,148.1201,-90.3506,90.0,top
S1,177.8961,-108.0036,90.0,top
S2,119.1061,-108.0036,270.0,top
U1,123.1011,-110.4166,270.0,top
U2,123.1011,-105.5906,90.0,top
U3,173.9011,-110.4166,270.0,top
U4,173.9011,-105.5906,90.0,top
U5,148.1201,-86.5406,270.0,top
